state,date,tweet_count,total_likes,sentiment_avg,total_retweets,total_followers,most_common_issues,most_common_derogatory_language,most_common_adjectives,top_10_user_screen_name,most_common_hashtag,top_hashtags,top_cleaned_tweet,states_code
Alabama,2020-10-15,44,277.0,-0.0014500000000000055,92.0,73655.0,hunterbiden,hate,evil,"['masquer08er', 'ScooterDavis1', 'porkchawp55', 'JackLeeRoberts', 'BamaStephen', 'tooprivileged_', '1967populist', 'DaleElster', 'GodChoseDJT', 'Giovanna111']",#biden,['#trump'],['censorship is at an all time high right now keep fighting and sharing information bidencrimefamily biden trump trump'],AL
Alabama,2020-10-16,59,618.0,-0.08072372881355931,127.0,162616.0,"hunterbiden, crookedjoebiden",hate,proud,"['masquer08er', 'BamaStephen', 'retired_sd', 'JCraigKY', 'WayneCain', '1967populist', 'ZanP', 'GospelGrind', 'JackLeeRoberts', 'PaulaCobia']",#biden,['#biden'],['how in the holy hell can a thinking person be undecided biden is a leftist antiamerican puppet trump is a unapologetic proamerican fighter'],AL
Alabama,2020-10-17,29,142.0,0.14315862068965518,46.0,458632.0,covid,"kill, shooting",perfect,"['HelloTeamTrump', 'BamaStephen', 'retired_sd', 'nroberts98', 'porkchawp55', '22lrMarksmen', 'Kyle4Congress', 'Nottrump20201', 'chrisonyourside', 'vitamind3blog']",#trump,['#trump'],['maxim defense pdx perfect accessory to match fall colors x  pdw maximdefense fall ar election trump biden garth killpack shooting range'],AL
Alabama,2020-10-18,27,39.0,-0.11246666666666666,13.0,380285.0,china,hate,presidential,"['HelloTeamTrump', 'pbpoliticalal', 'bissel', 'BamaStephen', 'Slim_N_21', 'RoxyWrites', 'JackLeeRoberts', 'scott_boyette', 'will_show2020', 'DaleElster']",#trump,['#trump'],['a sneak peak of tomorrows presidential forecast the secondtolast before the election check it out tomorrow at  am cst only at trump biden bidenharris trumppence election vote'],AL
Alabama,2020-10-19,40,493.0,-0.04575,114.0,509786.0,"covid, pandemic",attack,joebiden,"['BamaStephen', 'Onelifetogive', 'mhhoward_AL', 'ilikecheesefart', 'RoxyWrites', 'HelloTeamTrump', 'JackLeeRoberts', 'ElizbethLManess', 'escape2606', 'MFIMiami']",#biden,['#biden'],['potus trump is right now attacking biden by saying that biden will listen to the scientists regarding covid imagine that trump thinks that is a bad thing during a pandemic our president is ignoring his own coronavirus task force and medical science that is weird'],AL
Alabama,2020-10-20,27,36.0,0.08265925925925927,16.0,117450.0,china,brutality,acceptable,"['BamaStephen', 'lazerouslong', 'RoxyWrites', 'mccombs869', 'Giovanna111', 'AndersonThomso8', 'RoseDru63', 'bama1fan', 'RealSteveDorman', 'nroberts98']",#trump,['#trump'],['love how uses the power of his position to interfere with the election and even more so how republicans find this acceptable trump biden'],AL
Alabama,2020-10-21,44,60.0,0.020809090909090912,18.0,261925.0,"law, order, defund the police",anger,defund,"['hmschchristnmom', 'masquer08er', 'apiercegodwin', 'HelloTeamTrump', 'TerryAbbott', 'patriciacoker13', 'RevConwell', 'RobGuthans', 'AlabamaDoc', 'Drew_Arredondo']",#trump,['#trump'],['please please reconsider biden has put my son in danger of his life with his defund the police and wont call down mobs vote trump for law and order please'],AL
Alabama,2020-10-22,62,61.0,0.06811612903225805,14.0,210992.0,corrupt,rage,full final presidential,"['masquer08er', 'AndreaWilWoods', 'RISKN0REWARD', '1061WTAK', 'ALT929HSV', '1003theriver', 'WDRMRadio', 'AnnaKatherineP5', 'mhhoward_AL', '1065KISSFM']","#trump,#biden,#wbhp","['#trump,#biden,#wbhp']",['full coverage of the final presidential debate between trump amp biden can be heard on wbhp coverage starts at pm with the debate beginning at pm listen here gt'],AL
Alabama,2020-10-23,146,644.0,0.06428835616438355,143.0,1506096.0,maga,hate,great,"['Onelifetogive', 'BamaStephen', 'DanielTidentrue', 'masquer08er', 'Operatorof7G', 'willhall79', 'RISKN0REWARD', 'maemalade1', 'SankofaBookClub', 'BobPenney5']",#biden,['#biden'],['great job moderating tonights presidentialdebate grace and clarity and strength kristenwelker had solid control of the presidentialdebate throughout she kept trump and biden in check and on point for the most part'],AL
Alabama,2020-10-24,33,54.0,0.09923939393939395,15.0,268688.0,maga,riot,covid sorry sleepy covid global single savior independent,"['masquer08er', 'PNN001', 'Wheetypie', 'OvertonGriffin', 'RealCharlieAL1', 'SunflowerMel', 'Operatorof7G', 'JCraigKY', 'mom2princessz', 'SajeEagle']",#biden,['#biden'],['biden you said you would fix covid sorry sleepy joe but you are not god covid is global and no single human can fix this you are not our savior independent patriots vote trump trump'],AL
Alabama,2020-10-25,32,200.0,0.023575000000000006,70.0,249188.0,fraud,war,communistmarxist socialist ready,"['mhhoward_AL', 'Kyle4Congress', 'BamaStephen', 'HelloTeamTrump', 'FreedomChurch4', 'alabamaobserver', 'masquer08er', 'RealSteveDorman', 'The0sumCarter', 'adisasterreally']",#biden,['#biden'],['does anyone know if our voting machines and their parts and software are made in the usa are organizers of communistmarxist socialist activists ready to take away our vote in november voterfraud madeinusa biden trump lord deliverusfromevil'],AL
Alabama,2020-10-26,37,141.0,0.03066216216216216,50.0,225940.0,corrupt,anger,available,"['BamaStephen', 'masquer08er', 'pbpoliticalal', 'mhhoward_AL', 'TR_IT_Solutions', 'timsfloors66', 'GospelGrind', 'DonnaListen', 'DaleElster', '_Official_Erika']",#trump,['#trump'],['corruption biden trump vote ken starr there has been a moral collapse of the main stream media this says it all and is why so many americans are misinformed disinformation is corrupting our decisions without us even knowing it bad decisions based on bad information'],AL
Alabama,2020-10-27,32,120.0,-0.047846875,29.0,99254.0,fraud,war,free,"['masquer08er', 'RoxyWrites', 'AndreaWilWoods', 'Dooperer', 'RollTide14SB', 'tabithahickman', 'DaleElster', 'nroberts98', 'LtAndyNorris', 'VWorldonline']",#biden,['#biden'],['biden trump how about your health claim your free membership to cancer u uselection trump biden votes republican democrat cancer healthcare giveaway win health caregivers patients'],AL
Alabama,2020-10-28,44,700.0,0.046075000000000005,223.0,140951.0,corrupt,"criminal, criminal",corrupt,"['RevConwell', 'masquer08er', 'judyprgirl', 'nroberts98', 'dawsondown01', 'BamaStephen', 'RoxyWrites', 'JackKirkwood12', 'QUEENJAZZE1', 'RoseDru63']",#biden,['#biden'],['whoa tucker is driving this out to no end bobulinski is absolutely on fire biden has to be done wheres the money joe and whereshunter to refute this'],AL
Alabama,2020-10-29,36,105.0,0.05595555555555555,58.0,176113.0,corrupt,hate,stevenmnuchin seatsforstimulus,"['anjeli_asencio', 'DaleElster', 'BamaStephen', 'JonnyDoo01', 'riz_kilkenny', 'me_nu_michelle', 'VoteBlueErrbody', 'AndreaWilWoods', 'Onelifetogive', 'timsfloors66']",#biden,"['#trump,#vote,#bidenharris2020']",['there you have it the most forceful argument yet in the history of elections who could possibly vote for biden after learning these facts but wait we already lost all that this year under trump didnt we'],AL
Alabama,2020-10-30,51,124.0,0.06628235294117647,39.0,659001.0,build back better,kill,american wealthy,"['HelloTeamTrump', 'BamaStephen', 'nroberts98', 'helpstampoutalz', 'GoodSamaritanYo', 'masquer08er', 'DaleElster', 'CapitalistPeace', 'VoteBlueErrbody', 'jayhouse1997']",#trump,['#trump'],['meet our  yo friend dr richard morgan who voted biden heres what he said at st my vote was denied x it took hrs of phone calls to board of elections i was going to go to courthouse in a wheelchair but the ballot came amp this soul didnt have to roll to the polls to vote'],AL
Alabama,2020-10-31,44,206.0,-0.001690909090909091,66.0,653030.0,corrupt,war,joebiden,"['HelloTeamTrump', 'BamaStephen', 'masquer08er', 'halmas', 'GoodSamaritanYo', 'Ben_Westen', 'Giovanna111', 'Gatorbite67', 'chasdunn', 'PerroV7']",#biden,['#biden'],['i urge all major candidates for president to immediately call for peace among their supporters do not let history judge you for being part of the fracturing of america unitedwestand dividedwefall potus trump biden'],AL
Alabama,2020-11-01,55,116.0,-0.05868,49.0,1353613.0,patriots,war,easy,"['HelloTeamTrump', 'BamaStephen', 'masquer08er', 'gspritchard2', 'PaulaCobia', 'MsGiggles83', 'Operatorof7G', 'Joshuabradenp', 'mcduff664', 'Giovanna111']",#trump,['#trump'],['breakingnews electioninterference joebiden is forgetting easy info he cannot possibly be employed to run the usa constitutionalcrisis wearegodswarriors'],AL
Alabama,2020-11-02,60,109.0,0.03481166666666667,14.0,170806.0,covid,threat,black democratic,"['masquer08er', 'pbpoliticalal', 'gspritchard2', 'BamaStephen', 'RISKN0REWARD', 'judyprgirl', 'EvilGrillCheese', 'anjeli_asencio', 'dougmost', 'IuicMobile']",#trump,['#trump'],['yall do know you can vote for people other then trump or biden on the ballot greenparty'],AL
